X1,X2,X3,X4
0:00,0,"0,0026","0,0028"
0:30,"0,0001",0,0
1:00,"-0,0001","-0,0002","-0,0001"
1:30,"0,0034","0,0029","0,0028"
2:00,"0,0031","0,0031","0,0031"
2:30,"0,0031","0,003","0,0031"
3:00,"0,0034","0,003","0,0029"
3:30,"0,0033","0,0031","0,0031"
4:00,"0,0032","0,0029","0,003"
4:30,"0,0033","0,0031","0,003"
5:00,"0,0032","0,003","0,0028"
5:30,"0,0031","0,0029","0,0032"
6:00,"0,0033","0,0031","0,0029"
6:30,"0,0031","0,0029","0,0032"
7:00,"0,0033","0,0031","0,003"
7:30,"0,0032","0,0032","0,0031"
8:00,"0,0032","0,0032","0,0028"
8:30,"0,0032","0,0031","0,0031"
9:00,"0,0033","0,0034","0,0031"
9:30,"0,0032","0,003","0,0031"
10:00,"0,0032","0,0032","0,0033"
10:30,"0,003","0,0031","0,0032"
11:00,"0,0031","0,0029","0,0033"
11:30,"0,0032","0,003","0,0033"
12:00,"0,0031","0,0029","0,0032"
12:30,"0,003","0,0031","0,0032"
13:00,"0,0031","0,0031","0,0033"
13:30,"0,0031","0,0031","0,0029"
14:00,"0,0033","0,0029","0,0031"
14:30,"0,0031","0,003","0,003"
15:00,"0,0031","0,0031","0,0031"
15:30,"0,0031","0,0032","0,0029"
16:00,"0,0031","0,0029","0,0029"
16:30,"0,0032","0,0029","0,003"
17:00,"0,0032","0,003","0,0031"
17:30,"0,003","0,003","0,0031"
18:00,"0,0034","0,0029","0,003"
18:30,"0,0031","0,0031","0,0032"
19:00,"0,0032","0,0031","0,0031"
19:30,"0,0032","0,0031","0,0031"
20:00,"0,0032","0,0032","0,0034"
20:30,"0,0031","0,0031","0,0031"
21:00,"0,0032","0,0033","0,0031"
21:30,"0,0026","0,0033","0,0032"
22:00,"0,0032","0,0033","0,003"
22:30,"0,0029","0,0034","0,003"
23:00,"0,0031","0,0033","0,003"
23:30,"0,003","0,003","0,0032"
